#### Simulations (10)
# Process3.x #1
1.0 5.0
2.0 5.0
2.0 5.0
2.0 10.0
3.0 10.0
3.0 15.0
3.0 15.0
4.0 15.0
4.0 15.0
4.0 20.0
5.0 20.0
5.0 20.0
5.0 25.0
5.0 25.0
6.0 25.0
6.0 25.0
6.0 30.0
6.0 30.0
7.0 30.0
7.0 35.0
7.0 35.0
8.0 35.0
8.0 40.0
8.0 40.0
9.0 40.0
9.0 40.0
9.0 45.0
9.0 45.0
10.0 45.0
10.0 45.0
10.0 50.0
10.0 50.0
11.0 50.0
11.0 50.0
11.0 55.0
12.0 55.0
12.0 60.0
12.0 60.0
13.0 60.0
13.0 60.0
13.0 65.0
13.0 65.0
14.0 65.0
14.0 70.0
14.0 70.0
15.0 70.0
15.0 70.0
15.0 75.0
16.0 75.0
16.0 75.0
16.0 81.0
16.0 81.0
17.0 81.0
17.0 81.0
17.0 87.0
18.0 87.0
18.0 87.0
18.0 93.0
18.0 93.0
19.0 93.0
19.0 93.0
19.0 99.0
19.0 99.0
20.0 99.0
20.0 99.0
20.0 105.0
20.0 105.0
21.0 105.0
21.0 105.0
21.0 111.0
21.0 111.0
22.0 111.0
22.0 111.0
22.0 117.0
22.0 117.0
23.0 117.0
23.0 117.0
23.0 123.0
24.0 123.0
24.0 129.0
24.0 129.0
25.0 129.0
25.0 129.0
25.0 135.0
26.0 135.0
26.0 135.0
26.0 141.0
26.0 141.0
27.0 141.0
27.0 141.0
27.0 147.0
28.0 147.0
28.0 147.0
28.0 153.0
29.0 153.0
29.0 153.0
29.0 159.0
29.0 159.0
30.0 159.0
30.0 159.0
30.0231 165.0
30.0231 165.0
31.0 165.0
31.0 175.0
31.0 175.0
32.0 175.0
32.0 175.0
32.0 185.0
32.0 185.0
33.0 185.0
33.0 185.0
33.0 195.0
34.0 195.0
34.0 195.0
34.0 205.0
34.0 205.0
35.0 205.0
35.0 205.0
35.0 215.0
36.0 215.0
36.0 215.0
36.0 225.0
36.0 225.0
37.0 225.0
37.0 225.0
37.0 235.0
38.0 235.0
38.0 245.0
38.0 245.0
39.0 245.0
39.0 245.0
39.0 255.0
40.0 255.0
40.0 255.0
40.0 265.0
40.0 265.0
41.0 265.0
# Process3.x #4
0.0 0.0
0.0 0.0
41.0 0.0
# Process3.x #5
0.0 0.0
0.0 0.0
41.0 0.0
# Process3.x #6
0.0 0.0
0.0 0.0
1.0 0.0
1.0 0.0
1.0 5.0
1.0 5.0
2.0 5.0
2.0 5.0
2.0 10.0
2.0 10.0
3.0 10.0
3.0 15.0
3.0 15.0
4.0 15.0
4.0 15.0
4.0 20.0
4.0 20.0
5.0 20.0
5.0 25.0
5.0 25.0
6.0 25.0
6.0 25.0
6.0 30.0
6.0 30.0
7.0 30.0
7.0 30.0
7.0 35.0
7.0 35.0
8.0 35.0
8.0 40.0
8.0 40.0
9.0 40.0
9.0 45.0
9.0 45.0
10.0 45.0
10.0 45.0
10.0 50.0
10.0 50.0
11.0 50.0
11.0 50.0
11.0 55.0
11.0 55.0
12.0 55.0
12.0 55.0
12.0 60.0
12.0 60.0
13.0 60.0
13.0 60.0
13.0 65.0
13.0 65.0
14.0 65.0
14.0 65.0
14.0 70.0
15.0 70.0
15.0126 75.0
15.0126 75.0
16.0 75.0
16.0 75.0
16.0 81.0
16.0 81.0
17.0 81.0
17.0 81.0
17.0 87.0
17.0 87.0
18.0 87.0
18.0 87.0
18.0 93.0
19.0 93.0
19.0 99.0
19.0 99.0
20.0 99.0
20.0 105.0
20.0 105.0
21.0 105.0
21.0 105.0
21.0 111.0
21.0 111.0
22.0 111.0
22.0 111.0
22.0 117.0
23.0 117.0
23.0 117.0
23.0 123.0
23.0 123.0
24.0 123.0
24.0 123.0
24.0 129.0
24.0 129.0
25.0 129.0
25.0 135.0
25.0 135.0
26.0 135.0
26.0 141.0
26.0 141.0
27.0 141.0
27.0 141.0
27.0 147.0
27.0 147.0
28.0 147.0
28.0 153.0
28.0 153.0
29.0 153.0
29.0 153.0
29.0 159.0
30.0 159.0
30.0041 165.0
30.0041 165.0
31.0 165.0
31.0 175.0
31.0 175.0
32.0 175.0
32.0 185.0
32.0 185.0
33.0 185.0
33.0 185.0
33.0 195.0
33.0 195.0
34.0 195.0
34.0 195.0
34.0 205.0
34.0 205.0
35.0 205.0
35.0 205.0
35.0 215.0
35.0 215.0
36.0 215.0
36.0 225.0
36.0 225.0
37.0 225.0
37.0 225.0
37.0 235.0
38.0 235.0
38.0 235.0
38.0 245.0
38.0 245.0
39.0 245.0
39.0 245.0
39.0 255.0
39.0 255.0
40.0 255.0
40.0 255.0
40.0 265.0
40.0 265.0
41.0 265.0
# Process3.x #7
0.0 0.0
0.0 0.0
1.0 0.0
1.0 5.0
1.0 5.0
2.0 5.0
2.0 5.0
2.0 10.0
2.0 10.0
3.0 10.0
3.0 10.0
3.0 15.0
4.0 15.0
4.0 15.0
4.0 20.0
4.0 20.0
5.0 20.0
5.0 20.0
5.0 25.0
5.0 25.0
6.0 25.0
6.0 25.0
6.0 30.0
7.0 30.0
7.0 30.0
7.0 35.0
8.0 35.0
8.0 35.0
8.0 40.0
9.0 40.0
9.0 40.0
9.0 45.0
10.0 45.0
10.0 45.0
10.0 50.0
10.0 50.0
11.0 50.0
11.0 50.0
11.0 55.0
11.0 55.0
12.0 55.0
12.0 55.0
12.0 60.0
13.0 60.0
13.0 60.0
13.0 65.0
14.0 65.0
14.0 65.0
14.0 70.0
14.0 70.0
15.0 70.0
15.0 70.0
15.0 75.0
15.0 75.0
16.0 75.0
16.0 75.0
16.0 81.0
17.0 81.0
17.0 81.0
17.0 87.0
18.0 87.0
18.0 93.0
18.0 93.0
19.0 93.0
19.0 99.0
19.0 99.0
20.0 99.0
20.0 99.0
20.0 105.0
20.0 105.0
21.0 105.0
21.0 111.0
21.0 111.0
22.0 111.0
22.0 111.0
22.0 117.0
22.0 117.0
23.0 117.0
23.0 117.0
23.0 123.0
24.0 123.0
24.0 123.0
24.0 129.0
25.0 129.0
25.0 135.0
25.0 135.0
26.0 135.0
26.0 141.0
26.0 141.0
27.0 141.0
27.0 141.0
27.0 147.0
27.0 147.0
28.0 147.0
28.0 147.0
28.0 153.0
28.0 153.0
29.0 153.0
29.0 153.0
29.0 159.0
29.0 159.0
30.0 159.0
30.0 159.0
30.0032 165.0
30.0032 165.0
31.0 165.0
31.0 175.0
31.0 175.0
32.0 175.0
32.0 175.0
32.0 185.0
32.0 185.0
33.0 185.0
33.0 195.0
33.0 195.0
34.0 195.0
34.0 205.0
34.0 205.0
35.0 205.0
35.0 205.0
35.0 215.0
35.0 215.0
36.0 215.0
36.0 215.0
36.0 225.0
37.0 225.0
37.0 225.0
37.0 235.0
38.0 235.0
38.0 235.0
38.0 245.0
38.0 245.0
39.0 245.0
39.0 245.0
39.0 255.0
40.0 255.0
40.0 265.0
40.0 265.0
41.0 265.0
# Process3.x #8
0.0 0.0
0.0 0.0
41.0 0.0
# Process3.x #9
0.0 0.0
0.0 0.0
1.0 0.0
1.0 0.0
1.0 5.0
1.0 5.0
2.0 5.0
2.0 5.0
2.0 10.0
3.0 10.0
3.0 15.0
3.0 15.0
4.0 15.0
4.0 20.0
4.0 20.0
5.0 20.0
5.0 20.0
5.0 25.0
5.0 25.0
6.0 25.0
6.0 30.0
6.0 30.0
7.0 30.0
7.0 30.0
7.0 35.0
7.0 35.0
8.0 35.0
8.0 35.0
8.0 40.0
8.0 40.0
9.0 40.0
9.0 40.0
9.0 45.0
9.0 45.0
10.0 45.0
10.0 50.0
10.0 50.0
11.0 50.0
11.0 50.0
11.0 55.0
11.0 55.0
12.0 55.0
12.0 55.0
12.0 60.0
13.0 60.0
13.0 65.0
13.0 65.0
14.0 65.0
14.0 65.0
14.0 70.0
14.0 70.0
15.0 70.0
15.0 70.0
15.0 75.0
16.0 75.0
16.0 81.0
16.0 81.0
17.0 81.0
17.0 81.0
17.0 87.0
17.0 87.0
18.0 87.0
18.0 87.0
18.0 93.0
18.0 93.0
19.0 93.0
19.0 93.0
19.0 99.0
19.0 99.0
20.0 99.0
20.0 99.0
20.0 105.0
20.0 105.0
21.0 105.0
21.0 105.0
21.0 111.0
22.0 111.0
22.0 111.0
22.0 117.0
22.0 117.0
23.0 117.0
23.0 117.0
23.0 123.0
23.0 123.0
24.0 123.0
24.0 123.0
24.0 129.0
24.0 129.0
25.0 129.0
25.0 129.0
25.0 135.0
25.0 135.0
26.0 135.0
26.0 135.0
26.0 141.0
26.0 141.0
27.0 141.0
27.0 141.0
27.0 147.0
28.0 147.0
28.0 153.0
28.0 153.0
29.0 153.0
29.0 159.0
29.0 159.0
30.0 159.0
30.0 159.0
30.0 165.0
30.0 165.0
31.0 165.0
31.0 175.0
31.0 175.0
32.0 175.0
32.0 185.0
32.0 185.0
33.0 185.0
33.0 185.0
33.0 195.0
33.0 195.0
34.0 195.0
34.0 195.0
34.0 205.0
35.0 205.0
35.0 205.0
35.0 215.0
35.0 215.0
36.0 215.0
36.0 225.0
36.0 225.0
37.0 225.0
37.0 235.0
37.0 235.0
38.0 235.0
38.0 235.0
38.0 245.0
39.0 245.0
39.0 245.0
39.0 255.0
40.0 255.0
40.0 255.0
40.0 265.0
41.0 265.0
# Process3.x #10
0.0 0.0
0.0 0.0
1.0 0.0
1.0 5.0
1.0 5.0
2.0 5.0
2.0 5.0
2.0 10.0
3.0 10.0
3.0 15.0
3.0 15.0
4.0 15.0
4.0 15.0
4.0 20.0
4.0 20.0
5.0 20.0
5.0 25.0
5.0 25.0
6.0 25.0
6.0 25.0
6.0 30.0
6.0 30.0
7.0 30.0
7.0 30.0
7.0 35.0
8.0 35.0
8.0 35.0
8.0 40.0
8.0 40.0
9.0 40.0
9.0 40.0
9.0 45.0
9.0 45.0
10.0 45.0
10.0 45.0
10.0 50.0
10.0 50.0
11.0 50.0
11.0 55.0
11.0 55.0
12.0 55.0
12.0 55.0
12.0 60.0
12.0 60.0
13.0 60.0
13.0 65.0
13.0 65.0
14.0 65.0
14.0 65.0
14.0 70.0
14.0 70.0
15.0 70.0
15.0 70.0
15.0 75.0
16.0 75.0
16.0 75.0
16.0 81.0
16.0 81.0
17.0 81.0
17.0 87.0
17.0 87.0
18.0 87.0
18.0 87.0
18.0 93.0
19.0 93.0
19.0 93.0
19.0 99.0
19.0 99.0
20.0 99.0
20.0 105.0
20.0 105.0
21.0 105.0
21.0 105.0
21.0 111.0
21.0 111.0
22.0 111.0
22.0 111.0
22.0 117.0
23.0 117.0
23.0 117.0
23.0 123.0
23.0 123.0
24.0 123.0
24.0 123.0
24.0 129.0
24.0 129.0
25.0 129.0
25.0 129.0
25.0 135.0
25.0 135.0
26.0 135.0
26.0 135.0
26.0 141.0
26.0 141.0
27.0 141.0
27.0 147.0
27.0 147.0
28.0 147.0
28.0 147.0
28.0 153.0
28.0 153.0
29.0 153.0
29.0 153.0
29.0 159.0
29.0 159.0
30.0 159.0
30.0 159.0
30.0 165.0
31.0 165.0
31.0 165.0
31.0 175.0
32.0 175.0
32.0 175.0
32.0 185.0
32.0 185.0
33.0 185.0
33.0 195.0
33.0 195.0
34.0 195.0
34.0 195.0
34.0 205.0
35.0 205.0
35.0 205.0
35.0 215.0
36.0 215.0
36.0 215.0
36.0 225.0
37.0 225.0
37.0 235.0
37.0 235.0
38.0 235.0
38.0 245.0
38.0 245.0
39.0 245.0
39.0 245.0
39.0 255.0
40.0 255.0
40.0 255.0
40.0 265.0
41.0 265.0
